,_id,config.overwrite,config.db_collection,config.alpha,config.epsilon,config.kind,config.lineage_info,config.scale_cost,config.tp,config.seed,result.early_cost,result.late_cost,result.converged
0,1,1,celegans2,0.01,0.001,moslin,precise,mean,"[170, 210]",187668437,0.6381877653309802,0.7598431288669477,False
1,2,2,celegans2,0.01,0.001,moslin,abpxp,mean,"[170, 210]",808934089,1.4732941738669567,1.5639902353241002,False
2,3,3,celegans2,0.01,0.01,moslin,precise,mean,"[170, 210]",813578452,0.6711644351157783,0.6697811821762285,False
3,4,4,celegans2,0.01,0.01,moslin,abpxp,mean,"[170, 210]",433740411,1.5275462786375322,1.36082030504386,False
4,5,5,celegans2,0.01,0.05,moslin,precise,mean,"[170, 210]",904063735,0.6685673501121423,0.6607580490478308,False
5,6,6,celegans2,0.01,0.05,moslin,abpxp,mean,"[170, 210]",848205225,1.5209554270981827,1.3252846917710894,False
6,7,7,celegans2,0.01,0.1,moslin,precise,mean,"[170, 210]",804785776,0.6628727463544081,0.6541433120743425,False
7,8,8,celegans2,0.01,0.1,moslin,abpxp,mean,"[170, 210]",826121055,1.5169024827963984,1.3207167984454549,True
8,9,9,celegans2,0.01,0.5,moslin,precise,mean,"[170, 210]",139334610,0.6415798502185238,0.6353146206667454,True
9,10,10,celegans2,0.01,0.5,moslin,abpxp,mean,"[170, 210]",637585288,1.4742446479219298,1.2910852293292288,True
10,11,11,celegans2,0.1,0.001,moslin,precise,mean,"[170, 210]",895691536,0.6683248814898229,0.6649640207316628,False
11,12,12,celegans2,0.1,0.001,moslin,abpxp,mean,"[170, 210]",807769993,1.530560757532184,1.3607360381386997,False
12,13,13,celegans2,0.1,0.01,moslin,precise,mean,"[170, 210]",611185183,0.6567949795422281,0.6482556085006784,False
13,14,14,celegans2,0.1,0.01,moslin,abpxp,mean,"[170, 210]",862249403,1.5159042347495761,1.318990885322947,True
14,15,15,celegans2,0.1,0.05,moslin,precise,mean,"[170, 210]",405705505,0.632569155240962,0.6271328275628425,True
15,16,16,celegans2,0.1,0.05,moslin,abpxp,mean,"[170, 210]",257513199,1.4690862362933819,1.285784065348289,True
16,17,17,celegans2,0.1,0.1,moslin,precise,mean,"[170, 210]",936026149,0.6019527212300616,0.5994077832342424,True
17,18,18,celegans2,0.1,0.1,moslin,abpxp,mean,"[170, 210]",770326712,1.4115353522205178,1.2415739535978412,True
18,19,19,celegans2,0.1,0.5,moslin,precise,mean,"[170, 210]",760066848,0.4435701673266358,0.4487844160767894,True
19,20,20,celegans2,0.1,0.5,moslin,abpxp,mean,"[170, 210]",326478567,1.1159999277218926,0.9984709487199183,True
20,21,21,celegans2,0.25,0.001,moslin,precise,mean,"[170, 210]",528559501,0.6497346975480083,0.6385627003488906,False
21,22,22,celegans2,0.25,0.001,moslin,abpxp,mean,"[170, 210]",392502568,1.5380773495996414,1.336718460817854,False
22,23,23,celegans2,0.25,0.01,moslin,precise,mean,"[170, 210]",738683446,0.6290649055218137,0.624559492719073,True
23,24,24,celegans2,0.25,0.01,moslin,abpxp,mean,"[170, 210]",837255296,1.5113009133806043,1.3148750556107824,True
24,25,25,celegans2,0.25,0.05,moslin,precise,mean,"[170, 210]",144641516,0.5547275678599461,0.5545685401592401,True
25,26,26,celegans2,0.25,0.05,moslin,abpxp,mean,"[170, 210]",274243666,1.3954490037506135,1.216557931439003,True
26,27,27,celegans2,0.25,0.1,moslin,precise,mean,"[170, 210]",671573344,0.4816794137783518,0.4834073571551943,True
27,28,28,celegans2,0.25,0.1,moslin,abpxp,mean,"[170, 210]",707732635,1.225016354035219,1.0865518163545078,True
28,29,29,celegans2,0.25,0.5,moslin,precise,mean,"[170, 210]",139197854,0.4467542136190131,0.4602405922616486,True
29,30,30,celegans2,0.25,0.5,moslin,abpxp,mean,"[170, 210]",132762954,1.0035791162096939,0.9465453034854497,True
30,31,31,celegans2,0.5,0.001,moslin,precise,mean,"[170, 210]",557002566,0.6130717782168382,0.6076194641119596,False
31,32,32,celegans2,0.5,0.001,moslin,abpxp,mean,"[170, 210]",613575515,1.5316001693732122,1.3059574465691255,False
32,33,33,celegans2,0.5,0.01,moslin,precise,mean,"[170, 210]",86994004,0.5617236277390946,0.563931515173232,True
33,34,34,celegans2,0.5,0.01,moslin,abpxp,mean,"[170, 210]",435776987,1.4549516923967574,1.2475231180335025,True
34,35,35,celegans2,0.5,0.05,moslin,precise,mean,"[170, 210]",357996150,0.4038495598762422,0.40864385237107664,True
35,36,36,celegans2,0.5,0.05,moslin,abpxp,mean,"[170, 210]",952646004,1.2207414603291868,1.0498305377341177,True
36,37,37,celegans2,0.5,0.1,moslin,precise,mean,"[170, 210]",973854415,0.3491556574872285,0.3568244499430473,True
37,38,38,celegans2,0.5,0.1,moslin,abpxp,mean,"[170, 210]",222865858,1.0355385253466476,0.9412347707780848,True
38,39,39,celegans2,0.5,0.5,moslin,precise,mean,"[170, 210]",142948501,0.709014193975231,0.723292204830656,True
39,40,40,celegans2,0.5,0.5,moslin,abpxp,mean,"[170, 210]",676897856,0.9751490946523437,0.9647435692501765,True
40,41,41,celegans2,0.75,0.001,moslin,precise,mean,"[170, 210]",833919544,0.5829988766809459,0.5895727348294233,True
41,42,42,celegans2,0.75,0.001,moslin,abpxp,mean,"[170, 210]",403044966,1.4801802444764502,1.2153682777577672,False
42,43,43,celegans2,0.75,0.01,moslin,precise,mean,"[170, 210]",928987418,0.4468960521803443,0.46040514751411404,True
43,44,44,celegans2,0.75,0.01,moslin,abpxp,mean,"[170, 210]",452859562,1.2794525222311273,1.0589858424951075,True
44,45,45,celegans2,0.75,0.05,moslin,precise,mean,"[170, 210]",291292823,0.27957498050195234,0.2870823690808689,True
45,46,46,celegans2,0.75,0.05,moslin,abpxp,mean,"[170, 210]",342557786,0.9871411283912552,0.9194757114396805,True
46,47,47,celegans2,0.75,0.1,moslin,precise,mean,"[170, 210]",856222526,0.36746707164004583,0.38201807533089166,True
47,48,48,celegans2,0.75,0.1,moslin,abpxp,mean,"[170, 210]",621921511,0.9751777231582697,0.9484897598336984,True
48,49,49,celegans2,0.75,0.5,moslin,precise,mean,"[170, 210]",8146355,0.8954427496923038,0.9017331031033565,True
49,50,50,celegans2,0.75,0.5,moslin,abpxp,mean,"[170, 210]",493991379,0.9862611387960133,0.9842310616911736,True
50,51,51,celegans2,0.9,0.001,moslin,precise,mean,"[170, 210]",566558519,0.5423619710351728,0.5584532306266672,True
51,52,52,celegans2,0.9,0.001,moslin,abpxp,mean,"[170, 210]",105588256,1.425506594663208,1.1543825367031748,False
52,53,53,celegans2,0.9,0.01,moslin,precise,mean,"[170, 210]",604604766,0.2780667569818498,0.2995319707424652,True
53,54,54,celegans2,0.9,0.01,moslin,abpxp,mean,"[170, 210]",974294454,0.9101820143639332,0.7665570008845952,True
54,55,55,celegans2,0.9,0.05,moslin,precise,mean,"[170, 210]",602114988,0.2572813423222527,0.26038155606810465,True
55,56,56,celegans2,0.9,0.05,moslin,abpxp,mean,"[170, 210]",620549122,0.8694144040563923,0.869047885572498,True
56,57,57,celegans2,0.9,0.1,moslin,precise,mean,"[170, 210]",391400826,0.5526615553815465,0.5750748979973078,True
57,58,58,celegans2,0.9,0.1,moslin,abpxp,mean,"[170, 210]",49662768,0.9761026935773554,0.9713557354920418,True
58,59,59,celegans2,0.9,0.5,moslin,precise,mean,"[170, 210]",24832619,0.9591463772954718,0.9615152250177046,True
59,60,60,celegans2,0.9,0.5,moslin,abpxp,mean,"[170, 210]",321697108,0.9947141976377247,0.9939655503256598,True
60,61,61,celegans2,0.95,0.001,moslin,precise,mean,"[170, 210]",530598052,0.49206987173715316,0.5148405850324143,True
61,62,62,celegans2,0.95,0.001,moslin,abpxp,mean,"[170, 210]",943640660,1.2544959622187752,1.0266385529395226,False
62,63,63,celegans2,0.95,0.01,moslin,precise,mean,"[170, 210]",423573165,0.1817155571178991,0.20677534400354985,True
63,64,64,celegans2,0.95,0.01,moslin,abpxp,mean,"[170, 210]",817886106,0.6777150062831753,0.5975130616467464,True
64,65,65,celegans2,0.95,0.05,moslin,precise,mean,"[170, 210]",894583742,0.2826108500067037,0.2857334043455412,True
65,66,66,celegans2,0.95,0.05,moslin,abpxp,mean,"[170, 210]",749567245,0.8847162077670014,0.8966267905574363,True
66,67,67,celegans2,0.95,0.1,moslin,precise,mean,"[170, 210]",852508682,0.6654409537954811,0.6870462585800148,True
67,68,68,celegans2,0.95,0.1,moslin,abpxp,mean,"[170, 210]",112065327,0.9856484736727666,0.9832056569408194,True
68,69,69,celegans2,0.95,0.5,moslin,precise,mean,"[170, 210]",823426210,0.9752970543229502,0.9765626294683994,True
69,70,70,celegans2,0.95,0.5,moslin,abpxp,mean,"[170, 210]",672383802,0.997227453605646,0.9967645231495252,True
70,71,71,celegans2,0.98,0.001,moslin,precise,mean,"[170, 210]",19861722,0.3788688129601197,0.4137240313164099,True
71,72,72,celegans2,0.98,0.001,moslin,abpxp,mean,"[170, 210]",568985491,1.010403813836639,0.8628777878540946,False
72,73,73,celegans2,0.98,0.01,moslin,precise,mean,"[170, 210]",252662915,0.11426749387113623,0.1403082124089856,True
73,74,74,celegans2,0.98,0.01,moslin,abpxp,mean,"[170, 210]",876241189,0.6458081119165847,0.5950179779786449,True
74,75,75,celegans2,0.98,0.05,moslin,precise,mean,"[170, 210]",734031745,0.32162285722075085,0.3261143224701358,True
75,76,76,celegans2,0.98,0.05,moslin,abpxp,mean,"[170, 210]",933929021,0.9024132168199522,0.9178588617608925,True
76,77,77,celegans2,0.98,0.1,moslin,precise,mean,"[170, 210]",631500637,0.7492386979526503,0.7680676426025266,True
77,78,78,celegans2,0.98,0.1,moslin,abpxp,mean,"[170, 210]",97797131,0.9924297142384612,0.9909010159772887,True
78,79,79,celegans2,0.98,0.5,moslin,precise,mean,"[170, 210]",908484087,0.9840565891332224,0.9846982918717032,True
79,80,80,celegans2,0.98,0.5,moslin,abpxp,mean,"[170, 210]",705972074,0.998660070310457,0.9983451143181403,True
80,81,81,celegans2,0.01,0.001,moslin,precise,mean,"[210, 270]",835544318,0.6154603150378287,0.6687024921402971,False
81,82,82,celegans2,0.01,0.001,moslin,abpxp,mean,"[210, 270]",308530102,1.155181019798647,1.0459525971335744,False
82,83,83,celegans2,0.01,0.01,moslin,precise,mean,"[210, 270]",912510889,0.6037711938456283,0.5854255050196251,False
83,84,84,celegans2,0.01,0.01,moslin,abpxp,mean,"[210, 270]",681366363,1.1647596541967524,0.9485872024993033,False
84,85,85,celegans2,0.01,0.05,moslin,precise,mean,"[210, 270]",956212649,0.6089886534856651,0.564092049293887,False
85,86,86,celegans2,0.01,0.05,moslin,abpxp,mean,"[210, 270]",348044058,1.1482103019545051,0.9276885925292561,False
86,87,87,celegans2,0.01,0.1,moslin,precise,mean,"[210, 270]",682041639,0.6084845056801302,0.5622902610664715,False
87,88,88,celegans2,0.01,0.1,moslin,abpxp,mean,"[210, 270]",369347154,1.1434468626130865,0.9247425975561794,True
88,89,89,celegans2,0.01,0.5,moslin,precise,mean,"[210, 270]",283453576,0.587408088551648,0.5464167663198621,True
89,90,90,celegans2,0.01,0.5,moslin,abpxp,mean,"[210, 270]",484011746,1.1018528571728141,0.8989456065068795,True
90,91,91,celegans2,0.1,0.001,moslin,precise,mean,"[210, 270]",468930367,0.5962250910717831,0.5776202412567423,False
91,92,92,celegans2,0.1,0.001,moslin,abpxp,mean,"[210, 270]",609196558,1.1626820934995392,0.9454537290699496,False
92,93,93,celegans2,0.1,0.01,moslin,precise,mean,"[210, 270]",731232,0.6009603041035476,0.5562536620023086,True
93,94,94,celegans2,0.1,0.01,moslin,abpxp,mean,"[210, 270]",628969284,1.141054312966384,0.9230098060568254,True
94,95,95,celegans2,0.1,0.05,moslin,precise,mean,"[210, 270]",506622497,0.5772100457929423,0.5390071956130196,True
95,96,96,celegans2,0.1,0.05,moslin,abpxp,mean,"[210, 270]",906922670,1.0959902478395454,0.8945270884658079,True
96,97,97,celegans2,0.1,0.1,moslin,precise,mean,"[210, 270]",610578947,0.5492713973678525,0.5172166595124879,True
97,98,98,celegans2,0.1,0.1,moslin,abpxp,mean,"[210, 270]",941980054,1.038392985407562,0.8574115801624166,True
98,99,99,celegans2,0.1,0.5,moslin,precise,mean,"[210, 270]",149066140,0.4338470784147181,0.4214370020559579,True
99,100,100,celegans2,0.1,0.5,moslin,abpxp,mean,"[210, 270]",937480742,0.7804154388059891,0.6922726970843429,True
100,101,101,celegans2,0.25,0.001,moslin,precise,mean,"[210, 270]",792955783,0.5874683896222117,0.5487087513092647,False
101,102,102,celegans2,0.25,0.001,moslin,abpxp,mean,"[210, 270]",281964224,1.1539420414591508,0.9266431249858413,False
102,103,103,celegans2,0.25,0.01,moslin,precise,mean,"[210, 270]",236935262,0.5764808766391419,0.5379705778084531,True
103,104,104,celegans2,0.25,0.01,moslin,abpxp,mean,"[210, 270]",49768385,1.1262812124192374,0.908254132087023,True
104,105,105,celegans2,0.25,0.05,moslin,precise,mean,"[210, 270]",622602113,0.5091774766436813,0.48441025784643554,True
105,106,106,celegans2,0.25,0.05,moslin,abpxp,mean,"[210, 270]",359110070,0.9823587287668808,0.817753991053279,True
106,107,107,celegans2,0.25,0.1,moslin,precise,mean,"[210, 270]",743425577,0.4484916107966596,0.43276368090255973,True
107,108,108,celegans2,0.25,0.1,moslin,abpxp,mean,"[210, 270]",25998141,0.8592840033979631,0.734380046185754,True
108,109,109,celegans2,0.25,0.5,moslin,precise,mean,"[210, 270]",523033717,0.5668740271997114,0.5742363497958293,True
109,110,110,celegans2,0.25,0.5,moslin,abpxp,mean,"[210, 270]",36902763,0.7639527158167128,0.7542889198553526,True
110,111,111,celegans2,0.5,0.001,moslin,precise,mean,"[210, 270]",263448536,0.5530967282258837,0.5194689806310454,False
111,112,112,celegans2,0.5,0.001,moslin,abpxp,mean,"[210, 270]",256860845,1.1404996842745927,0.9060777127143571,False
112,113,113,celegans2,0.5,0.01,moslin,precise,mean,"[210, 270]",64999112,0.5071638837899257,0.48280798216555343,True
113,114,114,celegans2,0.5,0.01,moslin,abpxp,mean,"[210, 270]",45721643,1.0664750746598628,0.856051932666482,True
114,115,115,celegans2,0.5,0.05,moslin,precise,mean,"[210, 270]",629345919,0.37959576074333123,0.37234048298450434,True
115,116,116,celegans2,0.5,0.05,moslin,abpxp,mean,"[210, 270]",18197563,0.7841164717284975,0.6839218726655043,True
116,117,117,celegans2,0.5,0.1,moslin,precise,mean,"[210, 270]",509133673,0.3989919865575867,0.40055743470117355,True
117,118,118,celegans2,0.5,0.1,moslin,abpxp,mean,"[210, 270]",992330921,0.7298607568815393,0.6864756435944639,True
118,119,119,celegans2,0.5,0.5,moslin,precise,mean,"[210, 270]",6973638,0.8323819326687705,0.8450870580802579,True
119,120,120,celegans2,0.5,0.5,moslin,abpxp,mean,"[210, 270]",347690643,0.9002923917420824,0.9047368358205401,True
120,121,121,celegans2,0.75,0.001,moslin,precise,mean,"[210, 270]",365601216,0.5110021986522519,0.4705903219386803,False
121,122,122,celegans2,0.75,0.001,moslin,abpxp,mean,"[210, 270]",269775183,1.118908572250126,0.8766057188622907,False
122,123,123,celegans2,0.75,0.01,moslin,precise,mean,"[210, 270]",737011493,0.38419559738496845,0.370728989667022,True
123,124,124,celegans2,0.75,0.01,moslin,abpxp,mean,"[210, 270]",69556664,0.8741984458818448,0.712527911124748,True
124,125,125,celegans2,0.75,0.05,moslin,precise,mean,"[210, 270]",719790270,0.36893647332053475,0.38071845842380486,True
125,126,126,celegans2,0.75,0.05,moslin,abpxp,mean,"[210, 270]",136927081,0.7312939132257466,0.7131886909818154,True
126,127,127,celegans2,0.75,0.1,moslin,precise,mean,"[210, 270]",46416930,0.60805441465442,0.6391392226427826,True
127,128,128,celegans2,0.75,0.1,moslin,abpxp,mean,"[210, 270]",970500275,0.8314885306939883,0.8345776138788757,True
128,129,129,celegans2,0.75,0.5,moslin,precise,mean,"[210, 270]",721522452,0.9432885840865904,0.949597603208171,True
129,130,130,celegans2,0.75,0.5,moslin,abpxp,mean,"[210, 270]",669381633,0.9675750565957768,0.9697144854721681,True
130,131,131,celegans2,0.9,0.001,moslin,precise,mean,"[210, 270]",923138240,0.4544536405776324,0.4117333031564862,True
131,132,132,celegans2,0.9,0.001,moslin,abpxp,mean,"[210, 270]",701101772,1.0632183709605685,0.8225031567027362,False
132,133,133,celegans2,0.9,0.01,moslin,precise,mean,"[210, 270]",911017377,0.24390917348000232,0.23685422892108052,True
133,134,134,celegans2,0.9,0.01,moslin,abpxp,mean,"[210, 270]",146993742,0.5911912346617981,0.514641862589969,True
134,135,135,celegans2,0.9,0.05,moslin,precise,mean,"[210, 270]",106267641,0.5683884660585529,0.6132706689223751,True
135,136,136,celegans2,0.9,0.05,moslin,abpxp,mean,"[210, 270]",149204054,0.873026726830867,0.8777048902243466,True
136,137,137,celegans2,0.9,0.1,moslin,precise,mean,"[210, 270]",747772313,0.7900436952822881,0.8254532457156846,True
137,138,138,celegans2,0.9,0.1,moslin,abpxp,mean,"[210, 270]",271227384,0.9419826916408666,0.9453093853978745,True
138,139,139,celegans2,0.9,0.5,moslin,precise,mean,"[210, 270]",259396247,0.9755313146516836,0.9793142990522342,True
139,140,140,celegans2,0.9,0.5,moslin,abpxp,mean,"[210, 270]",345556051,0.9893818535112597,0.9901567573247327,True
140,141,141,celegans2,0.95,0.001,moslin,precise,mean,"[210, 270]",63296416,0.39482545691922116,0.3636710785642338,True
141,142,142,celegans2,0.95,0.001,moslin,abpxp,mean,"[210, 270]",121925546,0.9138813156444813,0.7106406269727612,True
142,143,143,celegans2,0.95,0.01,moslin,precise,mean,"[210, 270]",866740585,0.20291178960948145,0.20490603009764544,True
143,144,144,celegans2,0.95,0.01,moslin,abpxp,mean,"[210, 270]",488805327,0.5075906243467418,0.4935442537968507,True
144,145,145,celegans2,0.95,0.05,moslin,precise,mean,"[210, 270]",101769398,0.6740570677308714,0.7288143310477344,True
145,146,146,celegans2,0.95,0.05,moslin,abpxp,mean,"[210, 270]",581135413,0.9399964238604691,0.9433331322371156,True
146,147,147,celegans2,0.95,0.1,moslin,precise,mean,"[210, 270]",999044950,0.8423903685359924,0.8748918429466914,True
147,148,148,celegans2,0.95,0.1,moslin,abpxp,mean,"[210, 270]",279423980,0.9730330435107543,0.9748049235070197,True
148,149,149,celegans2,0.95,0.5,moslin,precise,mean,"[210, 270]",679130108,0.9835380166417167,0.9866496826069874,True
149,150,150,celegans2,0.95,0.5,moslin,abpxp,mean,"[210, 270]",824807546,0.9949802747853199,0.9953546309068981,True
150,151,151,celegans2,0.98,0.001,moslin,precise,mean,"[210, 270]",838915540,0.28591751029250456,0.26861761014645097,True
151,152,152,celegans2,0.98,0.001,moslin,abpxp,mean,"[210, 270]",977966405,0.7220454870575581,0.5779068043548262,True
152,153,153,celegans2,0.98,0.01,moslin,precise,mean,"[210, 270]",200647062,0.21057001730380667,0.22668098374611775,True
153,154,154,celegans2,0.98,0.01,moslin,abpxp,mean,"[210, 270]",138780655,0.5594585568324535,0.5759515083703488,True
154,155,155,celegans2,0.98,0.05,moslin,precise,mean,"[210, 270]",876976683,0.7325662523363977,0.7904444407594643,True
155,156,156,celegans2,0.98,0.05,moslin,abpxp,mean,"[210, 270]",592987225,0.9771047366636759,0.9785803804238428,True
156,157,157,celegans2,0.98,0.1,moslin,precise,mean,"[210, 270]",735322207,0.8711101578302898,0.901279265017819,True
157,158,158,celegans2,0.98,0.1,moslin,abpxp,mean,"[210, 270]",654597695,0.9895904794637647,0.9903181509128678,True
158,159,159,celegans2,0.98,0.5,moslin,precise,mean,"[210, 270]",999889545,0.9878652497328829,0.9906063483387041,True
159,160,160,celegans2,0.98,0.5,moslin,abpxp,mean,"[210, 270]",736687157,0.9980374911605663,0.9981840091236844,True
160,161,161,celegans2,0.01,0.001,moslin,precise,mean,"[270, 330]",22089748,0.6019759101611507,0.5252574086791941,False
161,162,162,celegans2,0.01,0.001,moslin,abpxp,mean,"[270, 330]",372678646,0.717217872218528,0.7322832644822321,False
162,163,163,celegans2,0.01,0.01,moslin,precise,mean,"[270, 330]",185076640,0.5647854628973141,0.4473656363678241,False
163,164,164,celegans2,0.01,0.01,moslin,abpxp,mean,"[270, 330]",649939859,0.7706465846205863,0.6543059481342997,False
164,165,165,celegans2,0.01,0.05,moslin,precise,mean,"[270, 330]",940936852,0.5579522760819168,0.4302899742143767,False
165,166,166,celegans2,0.01,0.05,moslin,abpxp,mean,"[270, 330]",834652351,0.7674100317530163,0.634808481840417,False
166,167,167,celegans2,0.01,0.1,moslin,precise,mean,"[270, 330]",387538654,0.5547729368376081,0.42758022692395925,False
167,168,168,celegans2,0.01,0.1,moslin,abpxp,mean,"[270, 330]",98806892,0.7631945455664918,0.632838616596039,False
168,169,169,celegans2,0.01,0.5,moslin,precise,mean,"[270, 330]",543447488,0.5299923091959331,0.4109454270138533,True
169,170,170,celegans2,0.01,0.5,moslin,abpxp,mean,"[270, 330]",470564560,0.7313599627531413,0.6105243324917273,True
170,171,171,celegans2,0.1,0.001,moslin,precise,mean,"[270, 330]",200671174,0.5610906622264583,0.44370083684604716,False
171,172,172,celegans2,0.1,0.001,moslin,abpxp,mean,"[270, 330]",925801062,0.7719615009232595,0.6515345298960367,False
172,173,173,celegans2,0.1,0.01,moslin,precise,mean,"[270, 330]",901518396,0.5517652248725592,0.4239265029526417,False
173,174,174,celegans2,0.1,0.01,moslin,abpxp,mean,"[270, 330]",569709722,0.7617399443821505,0.6314868789285407,False
174,175,175,celegans2,0.1,0.05,moslin,precise,mean,"[270, 330]",716888956,0.5235695397964633,0.40551082229894403,True
175,176,176,celegans2,0.1,0.05,moslin,abpxp,mean,"[270, 330]",931409469,0.7265874913606309,0.6068253732210596,True
176,177,177,celegans2,0.1,0.1,moslin,precise,mean,"[270, 330]",455271344,0.492356507113205,0.3837345030407424,True
177,178,178,celegans2,0.1,0.1,moslin,abpxp,mean,"[270, 330]",380645464,0.6826422264715003,0.5755091328862545,True
178,179,179,celegans2,0.1,0.5,moslin,precise,mean,"[270, 330]",638961727,0.37209112614448675,0.31199795431654764,True
179,180,180,celegans2,0.1,0.5,moslin,abpxp,mean,"[270, 330]",701066424,0.504194721572793,0.46327353842517327,True
